,0
Unnamed: 0,0.14658836155995922
Dependents,0.02706907050986556
Education,0.013631811361835276
Self_Employed,0.0034754236510891857
ApplicantIncome,0.12880470585418063
CoapplicantIncome,0.06837582627675592
LoanAmount,0.15367781581038029
Loan_Amount_Term,0.015600526811198086
Credit_History,0.3853005027612775
Property_Area,0.05747595540345838
